№,1,2,3,4,5,6,7,7-2,7-v,8,9,9-2,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27dp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,31,"yzx
https://youtu.be/Bzjs1rdwqpg",,"10011101
https://youtu.be/bL8CsBs17RA","45
https://youtu.be/G1ikJtnQYyE",187,,,,"6075
https://youtu.be/mLEwgVMobpI","47
https://youtu.be/1niJpb-Agy0",,54,,22,"715
https://youtu.be/EPABvMKmyiY",7,53,12114,"1 40
https://youtu.be/fb2wBmHDlug",268 945,,,,,"39
https://youtu.be/5l02tTss1iU",89,"56401891 139
74342691 1259
149721291 531
375291 37
267817291 203",,,22336 28158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,56,"ywxz
https://youtu.be/BaSbmWbiEbs",,"01000011
https://youtu.be/0t7gUK7MoJ4","63
https://youtu.be/i9dKtpn03aI",432,,,,"24064
https://youtu.be/qXbh5SqXyA0","326
https://youtu.be/C8Ztm0BaMME",,42,,111,"26
https://youtu.be/CNU7wyX3uiI",8,10,8,"16 1548
https://youtu.be/AV0Y0YGstck",484 2109,,,,,"126798
https://youtu.be/JMmO7x-SVgw",284,"10001029 67270
10001099 50964
10001371 63860
10001773 45074
10002673 21886",,,770 64386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,51,"zwyx
https://youtu.be/U4HA6kt57gs",,"1001011
https://youtu.be/CSYD7KN7X64","85
https://youtu.be/nqDf0mGSdTQ",60,,,,"1593
https://youtu.be/w3nUfn0UmKo","965
https://youtu.be/IvaDO7YhQhI",,71,,33,"11
https://youtu.be/XkUefSVYHh4",9,2,5,"8 1060
https://youtu.be/l_rl32muDdA",196 793,,,,,"7
https://youtu.be/Qf7LkN2te14",208,"10011007 7112
10012007 56112
10023487 22112
10028327 92112
10042367 23112",,,58 272185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,23,"xzyw
https://youtu.be/CQqpyfyw1PI",,"1000011101
https://youtu.be/k1emhr2f3bc","158
https://youtu.be/6YXwm9D_D6A",83,,,,"4864
https://youtu.be/pF3C2Ih1_1E

","2
https://youtu.be/P3Uk7aLQLrU",,5,,7,"11
https://youtu.be/s4LL_W5utXE",11,11,4060,"91 2627
https://youtu.be/TY5OZFvr8i0",348 2113,,,,,"851
https://youtu.be/B0sHyfWN0oo",90,"10000495 2014799
10000601 792131
10000604 7500457
10000847 273059
10000917 4444861",,,120581 2068900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,11,"yzwx
https://youtu.be/mvBBvsbt9Sg",,"1000111001
https://youtu.be/7WAhDu6fyNo","39
https://youtu.be/wyZpeKcTZog",43,,,,"648
https://youtu.be/JFiRSjEMG3Q","1852
https://youtu.be/x9p6uZ3UMTg",,28,,"67,33","26
https://youtu.be/N1rUYdcIk0o",12,"3
https://youtu.be/9nR-YrOdVJ0",50,"9 63
https://youtu.be/D3kJ6O-EJTA",287 864,,,,,"181
https://youtu.be/PluvocmpMvI",26,"10012335 6007401
10012912 8940100
10019645 2582449
10037404 8300161
10045273 2105401",,,3987 3907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,22,"yxwz
https://youtu.be/XaRQw4QMaFs",,"01011000
https://youtu.be/g4cRDREdi74","43
https://youtu.be/cshCnPeo9tg",90,,,,"2187
https://youtu.be/JEocUJRsBtQ","2114
https://youtu.be/bzQRxb9laZo",,31,,"68,22","224
https://youtu.be/3XYMjfSWHjc","7
https://youtu.be/QuJ79M6F9EU","4
https://youtu.be/4qzzRFEfltU",12,"5 57
https://youtu.be/1kgwqzozOR4",501 1932,,,,,"121
https://youtu.be/5Lnyc8bIv3s",597,"10000837 2772677
10000888 8750777
10002364 7501777
10002981 3377771
10003172 7772735",,,3720 191008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,29,"xwyz
https://youtu.be/kiJneVTjDkM",,"13453
https://youtu.be/-oDGP7qRzus","40
https://youtu.be/vjLkRCuprcs",30,,,,"1078
https://youtu.be/iqxJefFHdS4","2122
https://youtu.be/D8PTZbiW0hY",,26,,887,"192
https://youtu.be/1IXBaJu4VXw","4
https://youtu.be/KKVvQfD0w9k","6
https://youtu.be/7pNV9795BSg",39,"54 138
https://youtu.be/jmHF7vNdULw",334 878,,,,,"60
https://youtu.be/4R-UmSlgt-k",1118,"10001975 2569999
10002217 467999
10002535 2444457
10003761 4457789
10005003 4446677",,,52708 28706949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,37,"yzxw
https://youtu.be/9xXAanbdzAA",,"027044
https://youtu.be/eTz8AWU--Ec","88
https://youtu.be/UmVmHs-LJkI",679,,,,"1562
https://youtu.be/e42IBHOqCVg","19
https://youtu.be/QHrJB6YaZ6A",,265,,8888,"26
https://youtu.be/YfssQqIvfmg","504
https://youtu.be/_BlOnYOdBwM","5
https://youtu.be/MFczOWRcN8I",103523,"25 1773
https://youtu.be/Xg816IOryBg",648 1994,,,,,"865
https://youtu.be/TnLL3n6lxKw",504,"34 10
2962963 14
1793722 30
21052632 62
754717 14",,,887 11090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,31,"yzwx
https://youtu.be/uJes3bF1RNM",,"161161
https://youtu.be/nsx3VF5E_rM","98
https://youtu.be/XSUpjhpwX5Y",113,,,,"44
https://youtu.be/d4XOjuXFLeM","76
https://youtu.be/8eKTlREvs0g",,21,,167,"848
https://youtu.be/ajH9NcMu3to","519
https://youtu.be/eS92bn__di4","6
https://youtu.be/JKq4_ku44_I",734376250,"14 6268
https://youtu.be/UBt2V3npwQo",1723 477,,,,,"616
https://youtu.be/HsMzUyHWO6M",245,"3 6
268 10
5 6
15789474 46
21428572 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,25,"wyzx
https://youtu.be/RHGYT72Uxqs",,"04505
https://youtu.be/cOhyCtnztjY","48
https://youtu.be/VUomsuwBbEQ",50,,,,"792
https://youtu.be/oBmTLnyq7MI","86
https://youtu.be/eC07CH5F6_A",,320,,159,"252
https://youtu.be/XDA5vu8KKoc",16,"4
https://youtu.be/sBpqJMJIQTU",4952115,"30 1027
https://youtu.be/4Tgmyzo3dus",2626 256,,,,,"1565
https://youtu.be/UAzj0O7WCxU",94,"41666666 30
116198 14
15151515 94
1996 10
2 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,"xwyz
https://youtu.be/23jd8nWhGL0",,"45
https://youtu.be/Iq5XFLRCV0U","68
https://youtu.be/93mZZn40ldk",4309,,,,"60
https://youtu.be/z6-OQ7JclkQ","1504
https://youtu.be/U-ec-W8k2Kk",,18,,3321,"252
https://youtu.be/n1PV8aTX5Y8","24
https://youtu.be/R0m2fh457_U","7
https://youtu.be/yB-2Fof3S9o",20155393,"370 209813
https://youtu.be/VDfjy_5kk6s",2538 98,,,,,"793
https://youtu.be/a7CaJk8i2cg",177,"4 6
1181 6
8333333 22
2173913 14
1369863 46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,"xwzy
https://youtu.be/BaMsTpjfjIg",,"20
https://youtu.be/gtKf2Q2OSzE","80
https://youtu.be/0svEztJpzJU",4623,,,,"1059
https://youtu.be/KytuBw0SATs","424
https://youtu.be/5Ot9HWvMgyc",,151,,22,"254
https://youtu.be/R-qAL-0IFug","227
https://youtu.be/vFX6tZxfkOs","5
https://youtu.be/i_w0g0k4kD4",3906251,"227 169
https://youtu.be/v4qWkC9c9lo",2404 481,,,,,"12998
https://youtu.be/q1peHfaQTxQ",28,"4 7
405954 23
13636364 23
10344828 47
118 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,"wzyx
https://youtu.be/D62btddgPQ8 ",,"25
https://youtu.be/ni_Jw7vuX0U
https://youtube.com/shorts/qinoyAY5nXo","108
https://youtu.be/oDGkSUnasu8",4768,,,,"35
https://youtu.be/T73LXDtWe2M","1835
https://youtu.be/reXrWHCms90",,45,,3221,"254
https://youtu.be/Pm5qmlRM7GQ","4032
https://youtu.be/x5W5t4y9tVM","18
https://youtu.be/Uitx_cmR9s0",55427328,"243 25552
https://youtu.be/aI3yeq-XVbA",2463 669,,,,,"113
https://youtu.be/q07ZYzuUj_k",20,"22 7
2222222 23
2 5
29994 15
46 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,"yxzw
https://youtu.be/9RyXg5iBEEI",,"14
https://youtu.be/s1uwoHsQDjU","126
https://youtu.be/WfYlveGjnH0",28,,,,"70
https://youtu.be/58OlOXAiACg

","862
https://youtu.be/RJ1mQXwadoE",,15,,332211,"192
https://youtu.be/oiRaC1M-JY4","31
https://youtu.be/V8RTJrqGlJk","20
https://youtu.be/0FI9jisNyVw",8984375,"7 12441
https://youtu.be/7YYozAOsglo",2502 476,,,,,"27
https://youtu.be/FO_wo2XlbBA",16,"48391 14
42123 15
5 6
5101 11
113443 14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,"zwyx
https://youtu.be/cSx-ojSrTDA",,"0100
https://youtu.be/R4alzsAVwJ8","116
https://youtu.be/z9u-I4tIIWU",27,,,,"165
https://youtu.be/9fi1_31nEBI","148
https://youtu.be/y7YVoAD_o7Q",,262,,21,"192
https://youtu.be/ubz1_dse_Ao","185
https://youtu.be/ry9MdPtq9Rs","32
https://youtu.be/igEb0kmObsA",7812501,"11 14934
https://youtu.be/yzIPmTB6Y34",2635 457,,,,,"52
https://youtu.be/epKO9MAkhz0",62,"1297 6
12283 11
6521739 15
5809 7
9090909 62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,"yxz
https://youtu.be/_N2B8tCuqPU",,"42
https://youtu.be/YWIyU_zIVkk","114
https://youtu.be/NUKhPROacgY",30,,,,"11628
https://youtu.be/F7tvLmeS7r8","125
https://youtu.be/B_r7kOK3PJo?t=5528
https://youtu.be/jnOk9NrzGDU",,56,,1122,"240
https://youtu.be/6_Wsrn_ogGc ","111
https://youtu.be/uhLt_O0an3Q","50
https://youtu.be/BDKChH34VWs",786432,"94 18841
https://youtu.be/XMefzPmhtyg",2671 419,,,,,"1264
https://youtu.be/OaoLMkdeGLI",6,"965 6
2756 6
14960 9
5285 9
9380 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,"wzyx
https://youtu.be/nIPmoQDALyw",,"14
https://youtu.be/l09iGqUhtN8","102
https://youtu.be/L04fKE-RwVQ",251,,,,"72
https://youtu.be/PtHlT1T3Yqo","114
https://youtu.be/ktd9H4r4yTE",,22,,313,"129
https://youtu.be/FyuoSRDCEHY","12
https://youtu.be/uzQgzg9hcg0","9
https://youtu.be/SXR7s5aWzQ0",16015625,"18 14769
https://youtu.be/HOkBs-i4FtU",1707 2681,,,,,"69408
https://youtu.be/2M78gbMpP_c",593,"4328 6
9620 10
40166 11
1736 5
39032 15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,"zwyx
https://youtu.be/aDMisPW2JDQ",,"000
https://youtu.be/KX9aRYh2GPU","92
https://youtu.be/R8UsjtlCY5o",45,,,,"480
https://youtu.be/sLNlOLRsfGA","603
https://youtu.be/O0rqQr7fi1M",,80,,332113,"11
https://youtu.be/C4vAu1dpEr8?si=gMgHI2QF9BD5l7un&t=7445
https://youtu.be/oCvDbe7gyDQ","8
https://youtu.be/fPNAqtxp2ho","7
https://youtu.be/lJAJti8Pvm8",2031617,"2 4961
https://youtu.be/7OvbM9HqLVI",1356 2634,,,,,"4912
https://youtu.be/7N9fy1omxnY",252776,"8868 12
26 9
2 6
60 12
48 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,"yzwx
https://youtu.be/bxCyQ-jUAsk",,"110
https://youtu.be/K1pHvg-1pVg","86
https://youtu.be/5R9h863JyWw",,,,,"6480
https://youtu.be/cGey1Gm5TI4","25
https://youtu.be/OBmkc1N7qMM",,26,,1,"240
https://youtu.be/aZ9jcrU2cKU","59
https://youtu.be/gOHAj3b0OSk",60,90699264,"206 23427
https://youtu.be/7AXk3DMuRyY",5990423 116,,,,,"40
https://youtu.be/s_FNrWMiHKk",1310,"1195 11
39 8
5 5
5 6
9999 16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,"wzyx
https://youtu.be/flGvedJPNgI",,"31
https://youtu.be/XA6EZXO4I34","12
https://youtu.be/H3rxSpfeFuo",,,,,"405
https://youtu.be/pR8csmsXR_w","799
https://youtu.be/c6VtSIFRuUc",,23,,3211,"224
https://youtu.be/nRroccvvIZk","87
https://youtu.be/h-pVwAQHlJY",95,65505024,"69 17534
https://youtu.be/FjdGm8BPX9A ",11604632 87,,,,,"74
https://youtu.be/nvt65GBBLWg ",229,"923040329
926000629
932141239
934101439
961212169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,"dabc
https://youtu.be/p1pmnfDhzX8",,"0010
https://youtu.be/-tBnrHLelYk","19
https://youtu.be/RmDVr7LaYfQ",,,,,"6860
https://youtu.be/JFQyGmaogVQ","21
https://youtu.be/f_3ZBn6UiqI",,12,,2,"192
https://youtu.be/CEumpapTTb8","198
https://youtu.be/_NcDmKlHvrU",3,20390625,"235 19105
https://youtu.be/H9w8yTSo_Bw",2607 928,,,,,"1440
https://youtu.be/hpojiJ_Jx0U",64,"113456759 6673927
133456749 7850397
153456739 9026867
173456729 10203337
193456719 11379807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,"bdca
https://youtu.be/8PbK8oZqHDA",,"46
https://youtu.be/yHhuTkWftmA","24
https://youtu.be/lEi8rxNktKg",,,,,"1800
https://youtu.be/e0BoYOaz9IM","464
https://youtu.be/YKoaxSvnLmE",,245,,11222,"128
https://youtu.be/YMuZqpBtNwY","97
https://youtu.be/_2wwa1FRMlw",2,14765625,"71 17664
https://youtu.be/MJJud9Dr1VU",761 1981,,,,,"376
https://youtu.be/LdVdHYmOghU",66,"12325677 72933
12385672 73288
123165679 728791
123225674 729146
123515678 730862
123575673 731217
123865677 732933
123925672 733288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,"cab
https://youtu.be/84oJreAC4J4",,"34
https://youtu.be/rBCVUTzEy44","8
https://youtu.be/E5c4syEC6nw",,,,,"9000
https://youtu.be/4wOnE5kXT0w","442
https://youtu.be/p1j2uJHuSj0",,110,,12,"0
https://youtu.be/5RWtJ0ERBjo","68
https://youtu.be/fsuon4MmfPA",8,216000000,"34 15806
https://youtu.be/RPJGDDl-zCA",784 2228,,,,,"36
https://youtu.be/BWxsIoSGxnM",2502,"122145 2395
122451 2401
124542 2442
124593 2443
127245 2495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,"bca
https://youtu.be/aIdUymBVDV0",,"1000
https://youtu.be/Vi5RfoOET6w","19
https://youtu.be/eYO4Pohrch8",,,,,"12240
https://youtu.be/A0Ups9aGNjI","2914
https://youtu.be/bTw9Vow37io",,219,,222,"248
https://youtu.be/F6VZwSSvqqs","72
https://youtu.be/F9hf1sYtZ6o",48,24278,"12 17219
https://youtu.be/h4TlKtykMfc",879 2237,,,,,"1025
https://youtu.be/jEgctpZLfJ0",16,"131071 131072
262139 262144
262147 262144
524287 524288
1048571 1048576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,"3
https://youtu.be/6ieqGNRrY2k",,"111
https://youtu.be/8iWs48WwFBE","14
https://youtu.be/YpCCJDwxg2o",,,,,"3360
https://youtu.be/ruC2Ga90d8Q","22
https://youtu.be/Ruy8lDBCnSE",,82,,717,"240
https://youtu.be/Fvnk25dFzKE","5
https://youtu.be/xO2N569winE",50,28,"7515 19789
https://youtu.be/dUWxG9vRJAY",778 2222,,,,,"34
https://youtu.be/kb0CCakZ0Lw",47,"1384741358 692370679
1611748138 805874069
1725251528 215656441
1921302838 960651419
1952258308 488064577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,"12
https://youtu.be/AncvquX455U",,"16
https://youtu.be/9mWAeHi11io",117,,,,,"84
https://youtu.be/Qxp7pZU7yfM","428
https://youtu.be/3VySilcsF98",,157,,123,"224
https://youtu.be/K2ZiSudCMOY","8
https://youtu.be/J71dn8pGotw",15,4084141,"202 6916
https://youtu.be/lTNEDIkoDs0",901 2259,,,,,"30
https://youtu.be/7CVvFIaS5AA",81,"8555171053 70703893
6407666925 52955925
5065538797 41863957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,"4
https://youtu.be/gSoYmEmy8o4",,"14
https://youtu.be/Z-_VOTZQmBY",994,,,,,"15120
https://youtu.be/9KVYfK3BeJo","408
https://youtu.be/u-JPPT8MFD0",,5435,,"63
https://youtu.be/3WPz5bdltAw","192
https://youtu.be/57_1bAQZka4","14
https://youtu.be/UwGim_CRKOY",5,3016,"150 6669
https://youtu.be/txtNRUf1Jvc",386 2331,,,,,"6120
https://youtu.be/G_JOUMOgliI",202,"132587371194 712835329
119702862522 643563777
106818353850 574292225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,"zywx
https://youtu.be/i2IIvWp80tc",,"23
https://youtu.be/PBt-lDnk8GY",309,,,,,"3120
https://youtu.be/pSvxYXtW6qU","447
https://youtu.be/NrId-grV24Q",,1,,"84
https://youtu.be/j9NLp9b4Dh4","128
https://youtu.be/ntILkJSn_uI","36
https://youtu.be/YDEOpebVOGg",57,16362024,"21 17631
https://youtu.be/MbzzSCTW3uE",7600 1776,,,,,"20375
https://youtu.be/6jRAzOki2rw",297,"30299072 398672
26106304 343504
21913536 288336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,"cdab
https://youtu.be/PVfdRC3CSLY",,"21
https://youtu.be/82REru2LjRw",540,,,,,"68
https://youtu.be/9ogToSlw9XE","3
https://youtu.be/yNsvJxud2PM",,26,,"54
https://youtu.be/O_Kl0AWPhJc","2048
https://youtu.be/Ssb0VYmNP9k","13
https://youtu.be/Y3CJLWCz-aw",47,8191127,"6 4519
https://youtu.be/RDwfnrdDGvU",1720 1247,,,,,"58085
https://youtu.be/-fKp0WNx-mA",202,"4095 91
2745 61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,"cadb
https://youtu.be/GPeHiqEPSS4",,"27
https://youtu.be/6o5veHJYJek",4,,,,,"1025
https://youtu.be/7y_CsPTCjdk","220
https://youtu.be/wVpO9DTErh8",,21,,"107
https://youtu.be/e4kvo5uBmCo","4096
https://youtu.be/IGGq8byk50I","20
https://youtu.be/G-g72RQl01U",4,6147897,"881 18941
https://youtu.be/ILePUW5Lq7A",2466 310,,,,,"38
https://youtu.be/y5Lx_imOrwA",183,"170200 1150
128464 868
126244 853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,"cadb
https://youtu.be/uEn-RNigEqc",,"32
https://youtu.be/rWrObzD38Gg",0,,,,,"17664
https://youtu.be/SzoIdJq0Rjg","680
https://youtu.be/3k1Scrsv8jI",,8,,"41
https://youtu.be/oEAvi8eHIa4","8192
https://youtu.be/EznGqLWx2W4","5
https://youtu.be/XY9wLY0U8KE",251,1019592,"1460 19378
https://youtu.be/RwNmz65HtVM",2400 852,,,,,"135
https://youtu.be/w2Cn4ry2Sbg",182,"123450668 7261804
123451688 7261864
123456618 7262154
123457638 7262214
123458658 7262274
123459678 7262334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,"bacd
https://youtu.be/KRlRJBue8so",,"21
https://youtu.be/WIjwIElw01M",7,,,,,"4704
https://youtu.be/EOW-sLR97XE","265
https://youtu.be/ZR1UdOvAsmY",,273,,"42
https://youtu.be/AATfdlWb2M8","16384
https://youtu.be/tG-QJESZrIM","6
https://youtu.be/mECu_IM9G0U",123,4092528,"177 9788
https://youtu.be/FlWU0PoJM78",1608 767,,,,,"11973104
https://youtu.be/wyCMp88B7QI",165,"18958656 12
1939958656 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,"wzyx
https://youtu.be/3urj1qwqiFE",,"43
https://youtu.be/0YO0YmkSodk",12,,,,,"1526
https://youtu.be/T0E19KO90bg","276
https://youtu.be/adBsVoY21LY",,164,,"37
https://youtu.be/auMQHb-cG7I","32768
https://youtu.be/glR3qPsE7tE","7
https://youtu.be/YFJhCgTxe7s",4,4104672,"14 9500
https://youtu.be/Qy6Rhf7-zgM",2391 804,,,,,"37104
https://youtu.be/NLhZ7pcuX-c",165,"39458583 15
39458673 17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,"yzwx
https://youtu.be/8rUsyfACUEo",,"36
https://youtu.be/Ne8B3irDCh4",6,,,,,"1215
https://youtu.be/zSzK-ysDhPU","10
https://youtu.be/5DLJnVGSwww",,50,,"82
https://youtu.be/Wf-bodTKIhg","240
https://youtu.be/rYAaUY4a6QQ","8
https://youtu.be/Us1qMLcX47k",32,11,"86 10184
https://youtu.be/4WaZK4zQt5M",704 2299,,,,,"36
https://youtu.be/y5339gydcu0",164,"2367803 22129
2371987 23029
2378503 22229
2382287 229
2386529 23629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,"yzwx
https://youtu.be/a-ilFNQxI4Y",,"24
https://youtu.be/A3UohqA6WCM",2,,,,,"5008
https://youtu.be/dzZehEV_-qo","6
https://youtu.be/74sLayzKwlQ",,59,,"92
https://youtu.be/qb9BFqpIlYM","262144
https://youtu.be/qIxjX30lCkQ","9
https://youtu.be/Fx97rXUcQYY",3,2025,"5034 9788
https://youtu.be/Kv4BjBx2YI0",2174 717,,,,,"6
https://youtu.be/-kOsKfVkfPo",5,"3850784 17191
3851246 1151
3851324 191
3851834 275131
3852254 275161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,"yxwz
https://youtu.be/BZh4eJ0H-Xg",,"29
https://youtu.be/B_r7kOK3PJo?t=2230
https://youtu.be/1V-TyW_qaSo",15,,,,,"604
https://youtu.be/MKtwy3rAGO8","482
https://youtu.be/z1rEFcXi_ME",,1461,,"48
https://youtu.be/CXU82jYwSyQ","8192
https://youtu.be/dxkfnd9oPHA","0 - 26,1 - 2, 2 – 1",8,2026,"3052 9316
https://youtu.be/elBUNbSO71s",1022 2090,,,,,"15092
https://youtu.be/Rqqe70LcRMg",58,"4679042 397
4679733 36277
4680214 30391
4680309 3257
4680873 1297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,"zxwy
https://youtu.be/mOT6Ze5KfkE",,"КАПИБАРА
https://youtu.be/Onpe5f2E4pU",9,,,,,"12570
https://youtu.be/ApEvBn_AQgc","34
https://youtu.be/H5w4cIOTmYc",,50,,"4
https://youtu.be/nD84dtffEgA","699050
https://youtu.be/vT-t6lubyXg","0 - 20,1 - 2, 2 - 1",56,2025,"225 2639
https://youtu.be/7L5I2DUncf4",2077 631,,,,,"4
https://youtu.be/tQUEMIedjFM",13,"1538 3
3992 9
6450 27
8912 63
11378 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,"zxy
https://youtu.be/1nejNVwtIyg",,"1101000
https://youtu.be/BMPBrGDNdwE","25
https://youtu.be/L0AwoH2eKTY",,,,,"2400
https://youtu.be/Ynte7mrgWTY","36
https://youtu.be/egOVniGu3gI",,45,,"5
https://youtu.be/GomZ_EgITwo",215766,"0 - 3,1 - 2, 
2 - 2, 3 - 0,
4 - 66",2,2026,"827 2378
https://youtu.be/vfuXnA8NJB8",2077 677,,,,,"5
https://youtu.be/JbhHxZ9nX8U",69,"6752 15
31250 35
55752 27
80258 9
104768 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,"xzwy
https://youtu.be/GarYMxXlMSI",,"10010110
https://youtu.be/2MmC58a7MZg","43
https://youtu.be/R4JWi1jme3I",,,,,"129
https://youtu.be/MRza4qV1_ps","2
https://youtu.be/POEIehNFYNo",,20,,"8
https://youtu.be/eOgkx89xCO8",24786,"0 - 1, 1 - 0,
2 - 0, 3 - 1,
4 - 1, 5 – 2, 6 - 66",58,4094550,"1304 2378
https://youtu.be/VGflb2ppVtg",2044 676,,,,,"22
https://youtu.be/mH9aZ8q7tfQ",72,"6450 27
83912 27
161378 9
238848 105
316322 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,"zwyx
https://youtu.be/gDAp1FuYe2o",,"11101001
https://youtu.be/Dkx8QRWX9vs","53
https://youtu.be/fngBwNiqKwc",,,,,"1744
https://youtu.be/_8CFII0sAvY","691
https://youtu.be/0Kag8HFgFJE",,21,,"11
https://youtu.be/BVooYvIuTfI",683,"0 - 51, 1 - 4, 2 - 0, 3 - 0, 4 - 4",8,4088484,"231 2378
https://youtu.be/C0iL7FpnNV4",,,,,,"184
https://youtu.be/vFx73-XZUIs",38,"22792 81
144450 81
266112 27
387778 9
509448 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,"yxz
https://youtu.be/11Y6ParaDA8",,"0110110
https://youtu.be/QsKjEQ22fAw","32
https://youtu.be/ZoeVr3oJEE4",,,,,"586
https://youtu.be/KvagTGFkCew","261
https://youtu.be/-BvpUsNqAOg
https://youtu.be/KNX4iaLWpG4",,238,,"16
https://youtu.be/cKfogHyxIzU",121,"0 - 149, 
1 - 4, 2 - 0, 3 - 0,4 - 2, 
5 - 0, 6 - 0",24,4086460,"550 2378
https://youtu.be/oNgYqA0fKUA",,,,,,"10
https://youtu.be/slkeR8JZu4M",972405,"12579 599
123459 5879
134589 6409
1234569 58789
1356789 64609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,"bdca
https://youtu.be/H-cKYlh3Hls",,"1001100
https://youtu.be/sOiYCcYsJZg","41
https://youtu.be/4VWosQCBuHE",,,,,"896
https://youtu.be/P5TIh51KsXY","125
https://youtu.be/O-MYsoDEPDY",,"5
https://youtu.be/B_r7kOK3PJo?t=5932",,"9
https://youtu.be/NCvSuvxgeu8",772,"0 - 81, 1 - 1, 2 - 3, 3 - 3",32,6291456,"8743 28715
https://youtu.be/UQRxH6aeolM",,,,,,"55
https://youtu.be/7M4-ISi_OfE",14211,"2021 43
1991 11
1969 11
1963 13
1961 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,"wzyx
https://youtu.be/zP-xBniAcM4",,"01
https://youtu.be/AEDd-taXfgw","47
https://youtu.be/qSwA9hP2QT4",,,,,"180
https://youtu.be/Honp5L8yx3c","6615
https://youtu.be/Rk4uVMp2C0o",,11,,"10
https://youtu.be/p79ZcAW3R5M",3656,"0 - 502, 
1 - 1, 2 - 1, 3 - 0,  
4 - 55",96,9437184,"6151 18891
https://youtu.be/T2LRP-H5KQg",,,,,,"234
https://youtu.be/kZvpyiCoVPk",49183,"20222009 4111
20221973 661
20221967 2293
20221939 2579
20221933 823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,"zxyw
https://youtu.be/dXEJSX8AS-c",,"100
https://youtu.be/9k1Y8bfEyTM","13
https://youtu.be/UycntVaboEI",,,,,"466456
https://youtu.be/xGAbyMy5BFA","6664
https://youtu.be/XYCaTtUD9Gc",,5,,"19
https://youtu.be/w4bn5tMXa9s",1663,14,1,67108864,"498 16198
https://youtu.be/8Ys__vQ0Isc",,,,,,"32
https://youtu.be/xWMOHOVZD44",6174,"121332131 8963
121332097 3347
121332053 1291
121332037 4481
121332031 1741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
